"","Site","Season","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1","Corrine","Summer",133403.3505,781680.753,658601.892,138888.9234,260079.7701,533922.9483,275916.4047,1200377.322,189483.582,164624.694,206319.252,236079.7194,367026.9261,921416.814,283124.808,554664.93,315118.53,102618.0687,172211.2554,913234.956
"2","Corrine","Winter",313440.912,412261.734,525613.98,511562.442,309944.883,391095.192,365909.109,465564.774,682548.6,341385.348,315848.274,301136.397,338793.567,887705.814,772495.497,408716.13,563743.104,325660.158,292272.387,325096.986
"3","Jordan River - Surplus Canal","Summer",90444.0351,178481.3031,349327.263,117262.722,142145.406,296557.65,195287.823,633056.886,108281.715,96564.168,99603.5121,93847.458,93137.7423,134673.462,77743.515,164228.094,102503.253,80363.058,79625.7786,195519.834
"4","Jordan River - Surplus Canal","Winter",62344.3302,67412.4816,98682.012,160268.043,60410.112,82496.766,133383.7188,149156.5008,293987.682,49169.0799,50118.9369,52092.2202,54746.4657,66541.3497,56888.304,64809.0009,84610.644,49283.1024,52937.7714,59920.5093
"5","Jordan River-Combined","Summer",129323.328,216618.954,387964.035,166752.453,181632.885,335783.373,240482.376,677491.95,166940.838,150971.739,160864.926,143892.429,149226.699,186475.371,128250.525,204328.32,163419.03,126168.375,125174.892,237872.748
"6","Jordan River-Combined","Winter",98683.995,108101.262,139607.166,201458.919,97115.442,112729.584,177938.556,199075.353,375068.586,93988.251,91382.589,90916.584,96213.177,102592.488,90349.446,105487.668,127518.798,87852.849,96058.503,99889.659
"7","Jordan River-SLC","Summer",38882.8623,38131.26564,38701.97304,49479.2211,39457.734,39175.3548,45199.9071,44371.92528,58647.225,54403.605,61268.751,50044.7727,56089.155,51773.7504,50503.044,40130.3676,60925.692,45805.9119,45565.1757,42366.91398
"8","Jordan River-SLC","Winter",36334.9056,40687.5906,40914.50529,41187.7032,36713.262,30229.2486,44525.8854,49984.2912,81162.207,44817.783,41266.6266,38828.1315,41463.7368,36044.3961,33466.4961,40687.7889,42910.9302,38561.2197,43113.1962,39954.35652
"9","Magna","Summer",NA,NA,182418.153,50303.99046,97768.93965,226574.4072,135343.9143,550544.256,45692.34549,37994.4783,44337.14346,40626.21675,45749.33691,84175.09788,28600.74951,128765.86704,48217.31922,23616.63765,35366.03163,157373.87433
"10","Magna","Winter",NA,NA,NA,118832.6631,36659.14593,40567.50012,97677.44403,106252.1145,249748.935,21989.44734,21326.03469,23741.80461,22275.35628,35762.55231,26056.60017,33468.06267,54169.96794,20467.31637,20250.49515,39801.64569
"11","Weber River","Summer",26766.7323,308126.6703,321118.4931,36347.3985,118810.6518,222328.4076,122692.5726,750563.3187,49157.5785,28643.2452,18412.05585,22609.67025,38426.3757,251914.9659,24245.9427,259025.8056,52942.5306,26015.5719,23189.9952,443241.1515
"12","Weber River","Winter",31173.1566,35008.2786,150036.3579,116908.7565,66845.7402,42794.9247,58800.1143,219709.2612,167121.291,45610.7847,35541.309,34688.8173,33855.9573,251000.208,58679.5479,44163.9879,93608.5065,36348.7866,33210.4908,70991.4
