Elevation(ft),Area(acres),Volume(acft)
4170,0,0
4170.01,0,0
4170.02,0,0
4170.03,0,0
4170.04,0,0
4170.05,0,0
4170.06,0,0
4170.07,0,0
4170.08,0,0
4170.09,0.22,0
4170.1,3.86,0.02
4170.11,6,0.07
4170.12,7.68,0.14
4170.13,9.17,0.22
4170.14,10.8,0.33
4170.15,68.25,0.66
4170.16,179.21,2.07
4170.17,258.9,4.15
4170.18,1579.15,11.09
4170.19,2462.33,30.66
4170.2,3017.11,58.83
4170.21,3306.26,89.66
4170.22,3603.5,125.04
4170.23,3941.02,161.65
4170.24,4549.04,205.44
4170.25,5287.37,253.82
4170.26,5626.38,307.11
4170.27,6109.37,367.22
4170.28,6441.2,428.44
4170.29,6714.8,496.12
4170.3,6936.6,562.64
4170.31,7112.18,634.68
4170.32,7274.14,704.87
4170.33,7428.6,780.21
4170.34,7541.04,853.29
4170.35,7653.32,931.15
4170.36,7781.12,1006.46
4170.37,7901.26,1086.85
4170.38,7997.02,1164.44
4170.39,8154.75,1247.11
4170.4,8308.09,1327.47
4170.41,8441.73,1413.34
4170.42,8574.24,1496.42
4170.43,8691.29,1584.92
4170.44,8809.94,1670.35
4170.45,8924.29,1761.24
4170.46,9041.92,1848.95
4170.47,9161.01,1942.21
4170.48,9298.91,2032.32
4170.49,9421.87,2128.27
4170.5,9528.48,2220.78
4170.51,9625.95,2314.25
4170.52,9762.56,2413.59
4170.53,9873.96,2509.46
4170.54,9977.36,2611.21
4170.55,10093.81,2709.15
4170.56,10222.1,2813.28
4170.57,10330.08,2913.62
4170.58,10433.6,3020.06
4170.59,10529.85,3122.39
4170.6,10652.49,3230.92
4170.61,10769.02,3335.49
4170.62,10874.87,3446.45
4170.63,10980.59,3553.15
4170.64,11090.43,3666.29
4170.65,11192.24,3775.06
4170.66,11288.66,3890.31
4170.67,11395.39,4001.04
4170.68,11528.29,4118.57
4170.69,11643.11,4231.69
4170.7,11757.66,4351.63
4170.71,11888.77,4467.05
4170.72,12021.32,4589.61
4170.73,12136.89,4707.57
4170.74,12246.04,4832.56
4170.75,12344.16,4952.62
4170.76,12458.74,5073.66
4170.77,12577.43,5201.99
4170.78,12678.09,5325.29
4170.79,12789.41,5455.84
4170.8,12896.14,5581.23
4170.81,13010.83,5714.03
4170.82,13134.17,5841.66
4170.83,13257.91,5976.94
4170.84,13373.84,6106.95
4170.85,13487.45,6244.65
4170.86,13599.48,6376.89
4170.87,13723.55,6516.94
4170.88,13842.64,6651.48
4170.89,13982.21,6794.08
4170.9,14102.71,6931.2
4170.91,14229.27,7076.42
4170.92,14396.7,7216.07
4170.93,14545.69,7364.47
4170.94,14721.87,7507.23
4170.95,14882.24,7659.06
4170.96,15063.04,7805.22
4170.97,15271.57,7960.73
4170.98,15427.51,8110.59
4170.99,15611.74,8269.66
4171,15803.35,8422.99
4171.01,15982.64,8578.14
4171.02,16184.76,8742.96
4171.03,16533.45,8902.52
4171.04,16830.9,9073.54
4171.05,17093.65,9239.19
4171.06,17355.43,9415.76
4171.07,17585.78,9586.27
4171.08,17833.1,9767.88
4171.09,18044.55,9943.01
4171.1,18418.26,10129.8
4171.11,18653.7,10310.78
4171.12,18973.72,10503.67
4171.13,19192.74,10689.97
4171.14,19439.7,10888.04
4171.15,19645.8,11078.8
4171.16,19914.35,11281.61
4171.17,20198.04,11477.23
4171.18,20622.33,11686.12
4171.19,20959.7,11889.23
4171.2,21337.29,12106.38
4171.21,21574.49,12315.98
4171.22,21766.35,12538.23
4171.23,21959.7,12751.65
4171.24,22209.14,12977.99
4171.25,22385.42,13195.76
4171.26,22581.73,13415.37
4171.27,22769.27,13647.77
4171.28,23002.6,13871.19
4171.29,23216.63,14108.11
4171.3,23401.17,14335.71
4171.31,23614.43,14576.66
4171.32,23819.71,14808.26
4171.33,23969.92,15053.27
4171.34,24145.65,15288.18
4171.35,24338.65,15536.76
4171.36,24527.03,15775.31
4171.37,24713.03,16027.76
4171.38,24882.83,16269.89
4171.39,25055.43,16525.89
