Date,LakeLevel(ft)
1/1/1999,4202.3
1/2/1999,4202.4
1/3/1999,4202.4
1/4/1999,4202.4
1/5/1999,4202.4
1/6/1999,4202.4
1/7/1999,4202.4
1/8/1999,4202.4
1/9/1999,4202.4
1/10/1999,4202.4
1/11/1999,4202.4
1/12/1999,4202.4
1/13/1999,4202.4
1/14/1999,4202.4
1/15/1999,4202.4
1/16/1999,4202.5
1/17/1999,4202.5
1/18/1999,4202.5
1/19/1999,4202.5
1/20/1999,4202.5
1/21/1999,4202.6
1/22/1999,4202.5
1/23/1999,4202.6
1/24/1999,4202.6
1/25/1999,4202.6
1/26/1999,4202.6
1/27/1999,4202.7
1/28/1999,4202.7
1/29/1999,4202.7
1/30/1999,4202.7
1/31/1999,4202.7
2/1/1999,4202.7
2/2/1999,4202.7
2/3/1999,4202.7
2/4/1999,4202.7
2/5/1999,4202.8
2/6/1999,4202.7
2/7/1999,4202.7
2/8/1999,4202.8
2/9/1999,4202.7
2/10/1999,4203
2/11/1999,4202.9
2/12/1999,4202.8
2/13/1999,4202.9
2/14/1999,4202.9
2/15/1999,4202.9
2/16/1999,4202.9
2/17/1999,4202.9
2/18/1999,4202.9
2/19/1999,4203
2/20/1999,4202.9
2/21/1999,4203
2/22/1999,4202.9
2/23/1999,4202.9
2/24/1999,4202.9
2/25/1999,4203
2/26/1999,4203
2/27/1999,4203
2/28/1999,4203
3/1/1999,4203
3/2/1999,4203
3/3/1999,4203.1
3/4/1999,4203.1
3/5/1999,4203
3/6/1999,4203
3/7/1999,4203.1
3/8/1999,4203
3/9/1999,4203.1
3/10/1999,4203
3/11/1999,4203.1
3/12/1999,4203.1
3/13/1999,4203.1
3/14/1999,4203.1
3/15/1999,4203.1
3/16/1999,4203.1
3/17/1999,4203.1
3/18/1999,4203.1
3/19/1999,4203.1
3/20/1999,4203.1
3/21/1999,4203.1
3/22/1999,4203.2
3/23/1999,4203.2
3/24/1999,4203.2
3/25/1999,4203.2
3/26/1999,4203.2
3/27/1999,4203.3
3/28/1999,4203.2
3/29/1999,4203.2
3/30/1999,4203.2
3/31/1999,4203.4
4/1/1999,4203.2
4/2/1999,4203.3
4/3/1999,4203.2
4/4/1999,4203.3
4/5/1999,4203.2
4/6/1999,4203.2
4/7/1999,4203.2
4/8/1999,4203.2
4/9/1999,4203.5
4/10/1999,4203.3
4/11/1999,4203.3
4/12/1999,4203.3
4/13/1999,4203.3
4/14/1999,4203.4
4/15/1999,4203.4
4/16/1999,4203.3
