,Date,LakeLevel(ft)
1,10/1/1999,4202.5
2,10/1/2000,4201.1
3,10/1/2001,4199.11
4,10/1/2002,4197.5
5,10/1/2003,4195.43
6,10/1/2004,4194.12
7,10/1/2005,4195.57
8,10/1/2006,4196.36
9,10/1/2007,4195.26
10,10/1/2008,4194.08
11,10/1/2009,4194.48
12,10/1/2010,4193.81
13,10/1/2011,4197.43
14,10/1/2012,4196.26
15,10/1/2013,4194.39
16,10/1/2014,4193.48
17,10/1/2015,4192.62
18,10/1/2016,4192.42
19,10/1/2017,4193.6
20,10/1/2018,4192.1
21,10/1/2019,4193.3
22,10/1/2020,4192.5
23,10/1/2021,4190.4
24,10/1/2022,4189
25,10/1/2023,4192
