Basin,SubareaName,State,Variable,wateryear,Value
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1989,19823.92
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1990,24250.36
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1991,26401.09
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1992,26710.45
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1993,30834.4
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1994,21770.98
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1995,26963.64
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1996,16751.61
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1997,22266.01
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1998,33473.1
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,1999,25806.43
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2000,23305.57
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2001,21473.05
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2002,29075.88
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2003,26276.14
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2004,30328.43
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2005,29056.68
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2006,29801.64
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2007,23486.11
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2008,31016.8
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2009,32344.5
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2010,33395.39
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2011,28866.56
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2012,27056.49
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2013,21771.33
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2014,27535.98
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2015,24761.22
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2016,32808.2
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2017,27828.73
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2018,9481.74
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2019,22326.7
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2020,17637.5
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2021,15686.03
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2022,15982.86
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2023,24008.31
Cedar/Beaver,Parowan,Utah,Agriculture Depletions,2024,19385.94
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1989,26763.75
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1990,28746.26
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1991,30728.78
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1992,29737.51
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1993,26763.76
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1994,28746.27
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1995,22897.88
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1996,27854.15
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1997,24781.27
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1998,27457.65
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,1999,32612.13
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2000,29737.52
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2001,21708.39
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2002,37568.38
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2003,30431.38
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2004,36081.52
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2005,26268.14
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2006,32314.77
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2007,32513
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2008,36973.65
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2009,35784.15
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2010,32909.52
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2011,31224.4
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2012,36577.14
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2013,30629.65
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2014,35288.54
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2015,33206.89
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2016,35090.27
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2017,33801.65
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2018,18463.93
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2019,13890.19
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2020,18751.42
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2021,18570.51
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2022,18684.82
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2023,13838.93
Cedar/Beaver,Parowan,Utah,Agriculture GW Pumping,2024,17033.29
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1989,7312.31
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1990,7651.61
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1991,10209.69
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1992,12108.34
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1993,24730.71
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1994,11980.16
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1995,23689.65
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1996,6837.47
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1997,13326.91
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1998,27856.25
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,1999,14000.27
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2000,11875.08
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2001,16205.9
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2002,4740.57
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2003,9444.51
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2004,10618.49
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2005,21669.28
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2006,20583.28
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2007,9009.62
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2008,12670
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2009,15329.51
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2010,21835.54
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2011,17003.73
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2012,10794.39
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2013,12355.39
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2014,8152.3
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2015,10458.12
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2016,16999.88
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2017,15583.66
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2018,6105.65
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2019,27226.33
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2020,12133.89
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2021,6853.27
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2022,9275.43
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2023,29322.92
Cedar/Beaver,Parowan,Utah,Agriculture Surface Diversions,2024,17140.68
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1989,68.83
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1990,57.04
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1991,23.46
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1992,3.8
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1993,21.15
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1994,0
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1995,21.15
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1996,0
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1997,39.64
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1998,29.4
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,1999,0.03
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2000,41.8
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2001,10.24
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2002,29.65
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2003,66.3
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2004,59.7
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2005,1346.03
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2006,1568.01
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2007,1529.63
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2008,1629.73
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2009,1649.12
Cedar/Beaver,Parowan,Utah,Sub-Irrigated Surface Depletions,2010,1488.16
